Timestamp,AbsoluteForce,Distance(mm)
1726167561.944746150,0.319826,0
1726167561.986575349,0.180795,0
1726167562.022479387,0.197799,0
1726167562.064691082,0.0798696,0
1726167562.097062983,0.151167,0
1726167562.146651608,0.115615,0
1726167562.175479221,0.0862895,0
1726167562.217298365,0.219155,0
1726167562.253554717,0.0388791,0
1726167562.297968342,0.0738599,0
1726167562.338094913,0.122864,0
1726167562.382035131,0.0732515,0
1726167562.418824661,0.0800428,0
1726167562.512327443,0.113502,0
1726167562.637700560,0.103005,0
1726167562.726919671,0.0557339,0
1726167562.814054100,0.0552365,0
1726167562.870207295,0.177069,0
1726167562.912307978,0.105353,0
1726167562.954658972,0.228355,0
1726167562.995484822,0.0823528,0
1726167563.040356680,0.100122,0
1726167563.078540646,0.143493,0
1726167563.113349027,0.202075,0
1726167563.160413674,0.198326,0
1726167563.206685581,0.198603,0
1726167563.255257245,0.271412,0
1726167563.288253214,0.342046,0
1726167563.340841365,0.29763,0
1726167563.375079218,0.250714,0
1726167563.415542438,0.313315,0
1726167563.461766961,0.309936,0
1726167563.501983491,0.39193,0
1726167563.543302037,0.424383,0
1726167563.581977406,0.464481,0
1726167563.622177532,0.503626,0
1726167563.666830525,0.566896,0
1726167563.715231831,0.596333,0
1726167563.747508244,0.683999,0
1726167563.784288697,0.656469,0
1726167563.829602130,0.707407,0
1726167563.865166933,0.834692,0
1726167563.912508978,0.89949,0
1726167563.960408249,1.06046,0
1726167564.001432795,1.0594,0
1726167564.044864820,1.17191,0
1726167564.083925514,1.07196,0
1726167564.126031079,1.27444,0
1726167564.168291269,1.3095,0
1726167564.205191087,1.43527,0
1726167564.246152831,1.38866,0
1726167564.284845159,1.62257,0
1726167564.321193660,1.78775,0
1726167564.359635488,1.91346,0
1726167564.409029911,1.84294,0
1726167564.443802454,2.0984,0
1726167564.481610551,2.11683,0
1726167564.523887814,2.10027,0
1726167564.570374148,2.11714,0
1726167564.603922991,2.33398,0
1726167564.639794898,2.34651,0
1726167564.682389196,2.44965,0
1726167564.710172431,2.32834,0
1726167564.751471994,2.92022,0
1726167564.807688719,2.8623,0
1726167564.835710724,2.94704,0
1726167564.871196127,2.83506,0
1726167564.915821072,3.27233,0
1726167564.953362170,3.22543,0
1726167564.998308038,3.29736,0
1726167565.039340747,3.41996,0
1726167565.076968511,3.44929,0
1726167565.116809015,3.49756,0
1726167565.166750582,3.53353,0
1726167565.217978860,3.91126,0
1726167565.265856302,4.08542,0
1726167565.318860120,4.24468,0
1726167565.359849920,4.49916,0
1726167565.391344242,4.34275,0
1726167565.436444237,4.37825,0
1726167565.473843149,4.46193,0
